id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,quartier
2025-1075345,2025-01-10,1,Vente,60000.0,119.0,,RUE JEAN JAURES,3895,83000.0,83137,Toulon,83,,,83137000CP0017,,,13.0,16.04,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.927862,43.124703,Toulon - Haute ville
2025-1075345,2025-01-10,1,Vente,60000.0,119.0,,RUE JEAN JAURES,3895,83000.0,83137,Toulon,83,,,83137000CP0017,,,13.0,16.04,,,,,,,,,1,2.0,Appartement,20.0,1.0,,,,,,5.927862,43.124703,Toulon - Haute ville
2025-1075350,2025-01-07,1,Vente,110000.0,33.0,,RUE NICOLAS LAUGIER,5390,83000.0,83137,Toulon,83,,,83137000CN0550,,,2.0,37.65,,,,,,,,,1,2.0,Appartement,42.0,2.0,,,,,,5.930987,43.121674,Toulon - Haute ville
2025-1075352,2025-01-02,1,Vente,88000.0,3.0,,RUE VINCENT COURDOUAN,7255,83000.0,83137,Toulon,83,,,83137000CL0190,,,2.0,73.45,,,,,,,,,1,2.0,Appartement,67.0,3.0,,,,,,5.935284,43.121728,Toulon - Haute ville
2025-1075356,2025-01-03,1,Vente,133000.0,28.0,,AV DU LAS,4325,83200.0,83137,Toulon,83,,,83137000CY0366,,,165.0,69.48,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.916868,43.127669,Toulon - Ubc - Dardennes - Barbanne
2025-1075356,2025-01-03,1,Vente,133000.0,28.0,,AV DU LAS,4325,83200.0,83137,Toulon,83,,,83137000CY0366,,,165.0,69.48,,,,,,,,,1,2.0,Appartement,75.0,4.0,,,,,,5.916868,43.127669,Toulon - Ubc - Dardennes - Barbanne
2025-1075365,2025-01-02,1,Vente,95000.0,289.0,,AV ANDRE LE CHATELIER,0305,83200.0,83137,Toulon,83,,,83137000DS0106,,,75.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.90193,43.138967,Toulon - Ubc - Dardennes - Barbanne
2025-1075365,2025-01-02,1,Vente,95000.0,289.0,,AV ANDRE LE CHATELIER,0305,83200.0,83137,Toulon,83,,,83137000DS0106,,,55.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.90193,43.138967,Toulon - Ubc - Dardennes - Barbanne
2025-1075365,2025-01-02,1,Vente,95000.0,289.0,,AV ANDRE LE CHATELIER,0305,83200.0,83137,Toulon,83,,,83137000DS0106,,,49.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.90193,43.138967,Toulon - Ubc - Dardennes - Barbanne
2025-1075365,2025-01-02,1,Vente,95000.0,289.0,,AV ANDRE LE CHATELIER,0305,83200.0,83137,Toulon,83,,,83137000DS0106,,,66.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.90193,43.138967,Toulon - Ubc - Dardennes - Barbanne
2025-1075365,2025-01-02,1,Vente,95000.0,289.0,,AV ANDRE LE CHATELIER,0305,83200.0,83137,Toulon,83,,,83137000DS0106,,,76.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.90193,43.138967,Toulon - Ubc - Dardennes - Barbanne
2025-1075365,2025-01-02,1,Vente,95000.0,289.0,,AV ANDRE LE CHATELIER,0305,83200.0,83137,Toulon,83,,,83137000DS0106,,,54.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.90193,43.138967,Toulon - Ubc - Dardennes - Barbanne
2025-1075365,2025-01-02,1,Vente,95000.0,289.0,,AV ANDRE LE CHATELIER,0305,83200.0,83137,Toulon,83,,,83137000DS0106,,,51.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.90193,43.138967,Toulon - Ubc - Dardennes - Barbanne
2025-1075366,2025-01-02,1,Vente,137000.0,1.0,,RUE VICTOR GENSOLLEN,7170,83000.0,83137,Toulon,83,,,83137000BV0277,,,3.0,31.95,,,,,,,,,1,2.0,Appartement,41.0,1.0,,,,,,5.939231,43.108638,Toulon - Haute ville
2025-1075376,2025-01-07,2,Vente,270000.0,87.0,,RUE SAINTE CHRISTINE,6570,83000.0,83137,Toulon,83,,,83137000BV0994,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,176.0,5.940393,43.111259,Toulon - Haute ville
